,Returns_all_share_reinvested,combined_sentiment_score_mnb_all_newspapers_FE,combined_sentiment_score_lsvc_all_newspapers_FE,combined_sentiment_score_dictionary_all_newspapers_FE,combined_sentiment_score_mlpc_all_newspapers_FE,LDY_ALLSHARE,LPE_ALLSHARE,DAILY_MAIL_&_MAIL_ON_SUNDAY_sentiment_score_DIC,DAILY_MIRROR_&_SUNDAY_MIRROR_sentiment_score_DIC,DAILY_RECORD_&_SUNDAY_MAIL_sentiment_score_DIC,DAILY_TELEGRAPH_sentiment_score_DIC,EVENING_STANDARD_sentiment_score_DIC,FINANCIAL_TIMES_sentiment_score_DIC,GUARDIAN_sentiment_score_DIC,INDEPENDENT_sentiment_score_DIC,OBSERVER_sentiment_score_DIC,SUN_sentiment_score_DIC,SUNDAY_TELEGRAPH_sentiment_score_DIC,SUNDAY_TIMES_sentiment_score_DIC,TIMES_sentiment_score_DIC,DAILY_MAIL_&_MAIL_ON_SUNDAY_ANN,DAILY_MIRROR_&_SUNDAY_MIRROR_ANN,DAILY_RECORD_&_SUNDAY_MAIL_ANN,DAILY_TELEGRAPH_ANN,EVENING_STANDARD_ANN,FINANCIAL_TIMES_ANN,GUARDIAN_ANN,INDEPENDENT_ANN,OBSERVER_ANN,SUN_ANN,SUNDAY_TELEGRAPH_ANN,SUNDAY_TIMES_ANN,TIMES_ANN,DAILY_MAIL_&_MAIL_ON_SUNDAY_NBEP,DAILY_MIRROR_&_SUNDAY_MIRROR_NBEP,DAILY_RECORD_&_SUNDAY_MAIL_NBEP,DAILY_TELEGRAPH_NBEP,EVENING_STANDARD_NBEP,FINANCIAL_TIMES_NBEP,GUARDIAN_NBEP,INDEPENDENT_NBEP,OBSERVER_NBEP,SUN_sentiment_NBEP,SUNDAY_TELEGRAPH_NBEP,SUNDAY_TIMES_NBEP,TIMES_sentiment_NBEP,DAILY_MAIL_&_MAIL_ON_SUNDAY_svmEP,DAILY_MIRROR_&_SUNDAY_MIRROR_svmEP,DAILY_RECORD_&_SUNDAY_MAIL_svmEP,DAILY_TELEGRAPH_svmEP,EVENING_STANDARD_svmEP,FINANCIAL_TIMES_svmEP,GUARDIAN_svmEP,INDEPENDENT_svmEP,OBSERVER_svmEP,SUN_svmEP,SUNDAY_TELEGRAPH_svmEP,SUNDAY_TIMES_svmEP,TIMES_svmEP
1990-2,-0.02351268,0.841276477,0.859431951,-0.161536102,0.765754188,1.483874689, , , , , , , ,-1.559329621,-1.774160908, , , ,-0.673938538,-1.236160027, , , , , , ,-0.378947368,-0.383333333, , , ,-0.115384615,-0.179775281,,,,,,,-0.378947368,-0.291666667,,,,-0.384615385,-0.134831461,,,,,,,-0.252631579,-0.316666667,,,,0.230769231,-0.179775281
1990-3,-0.031520119,0.831781434,0.928380792,-0.207877663,0.779500904,1.549687908, , , , , , , ,-1.765603154,-1.557806528, , , ,-1.466331474,-1.237605674, , , , , , ,-0.503759398,-0.253588517, , , ,-0.3125,-0.132352941,,,,,,,-0.54887218,-0.248803828,,,,-0.583333333,0,,,,,,,-0.421052632,-0.138755981,,,,-0.125,0.095588235
1990-4,-0.002417287,0.93297032,0.916446832,-0.154687956,0.853915863,1.576914721, , , , , , , ,-1.55918773,-1.513003279, , , ,-1.487373058,-1.327224985, , , , , , ,-0.228915663,-0.223140496, , , ,-0.428571429,-0.12745098,,,,,,,-0.253012048,-0.173553719,,,,-0.571428571,-0.029411765,,,,,,,-0.204819277,-0.181818182,,,,-0.25,-0.058823529
1990-5,-0.006403589,0.821408271,0.965754019,0.021177943,0.816749034,1.595338988, , , , , , , ,-1.513146419,-1.273843748, , , ,-1.369371967,-1.07060172, , , , , , ,-0.379310345,-0.268965517, , , ,-0.475,-0.033057851,,,,,,,-0.379310345,-0.351724138,,,,-0.6,-0.05785124,,,,,,,-0.198275862,-0.144827586,,,,-0.175,0.049586777
1990-6,0.082717039,0.933754461,0.952663746,-0.020650124,0.856272661,1.532556868, , , , , , , ,-1.558868555,-1.531598752, , , ,-1.430055198,-0.845624597, , , , , , ,-0.25,-0.347107438, , , ,-0.4375,0.06,,,,,,,-0.25,-0.272727273,,,,-0.5,0.08,,,,,,,-0.25,-0.239669421,,,,-0.21875,0.18
1990-7,-0.005193246,0.913196048,0.869344781,-0.103086929,0.76392914,1.545432582, , , , , , , ,-1.547409468,-1.435754075, , , ,-1.715901595,-1.204445009, , , , , , ,-0.282828283,-0.354330709, , , ,-0.461538462,-0.23,,,,,,,-0.363636364,-0.330708661,,,,0.115384615,0.02,,,,,,,-0.252525253,-0.275590551,,,,-0.192307692,-0.08
1990-8,-0.057778144,1.001107947,0.810776931,-0.532635775,0.675794818,1.613429934, , , , , , , ,-2.135439199,-1.902813958, , , ,-1.457207639,-1.586374023, , , , , , ,-0.625,-0.355371901, , , ,-0.409090909,-0.204545455,,,,,,,-0.25,-0.107438017,,,,-0.272727273,0.034090909,,,,,,,-0.59375,-0.289256198,,,,0.045454545,0.034090909
1990-9,-0.070826053,0.931570614,0.735699389,-0.559451753,0.62480062,1.691939134, , , , , , , ,-2.10494056,-1.783622977, , , ,-2.553554716,-1.602668831, , , , , , ,-0.67826087,-0.351851852, , , ,-0.676470588,-0.2890625,,,,,,,-0.443478261,-0.037037037,,,,-0.647058824,-0.0234375,,,,,,,-0.591304348,-0.283950617,,,,-0.441176471,-0.15625
1990-10,0.002290952,0.743092499,0.82007596,-0.359258757,0.676407607,1.701105101, , , , , , , ,-1.786469557,-1.691142787, , , ,-1.978977495,-1.477123984, , , , , , ,-0.583333333,-0.323529412, , , ,-0.571428571,-0.251851852,,,,,,,-0.545454545,-0.341176471,,,,-0.514285714,-0.222222222,,,,,,,-0.492424242,-0.135294118,,,,-0.4,-0.140740741
1990-11,-0.019634831,0.936093179,0.790883132,-0.535511898,0.711796589,1.72455072, , , , , , , ,-1.666206237,-1.925249333, , , ,-2.695158955,-1.762286204, , , , , , ,-0.328571429,-0.38410596, , , ,-0.558823529,-0.314049587,,,,,,,-0.285714286,-0.19205298,,,,-0.323529412,-0.033057851,,,,,,,-0.278571429,-0.317880795,,,,-0.441176471,-0.214876033
1990-12,0.054135456,0.813173774,0.694283819,-0.764916341,0.634415895,1.686398954, , , , , , , ,-1.9988819,-2.07660743, , , ,-2.260577011,-2.134648228, , , , , , ,-0.548672566,-0.474576271, , , ,-0.46875,-0.25,,,,,,,-0.477876106,-0.322033898,,,,-0.25,-0.125,,,,,,,-0.495575221,-0.43220339,,,,-0.25,-0.229166667
1991-1,-0.042489256,0.86192582,0.767491016,-0.562458377,0.727387219,1.736951233, , , , , , , ,-2.003626118,-1.885389129, , , ,-1.756534505,-1.771134435, , , , , , ,-0.492063492,-0.376923077, , , ,-0.3,-0.150442478,,,,,,,-0.380952381,-0.284615385,,,,-0.4,-0.053097345,,,,,,,-0.436507937,-0.361538462,,,,-0.1,-0.168141593
1991-2,0.107056675,0.84231703,0.65304589,-0.892922929,0.589857436,1.631199404, , , , , , , ,-2.284644407,-2.223358656, , , ,-2.06758957,-2.160349655, , , , , , ,-0.628378378,-0.459627329, , , ,-0.547619048,-0.317460317,,,,,,,-0.445945946,-0.192546584,,,,-0.380952381,-0.174603175,,,,,,,-0.641891892,-0.354037267,,,,-0.404761905,-0.261904762
1991-3,0.100500709,0.972109513,0.848147596,-0.352835189,0.723517219,1.541159072, , , , , , , ,-1.686864456,-1.710955329, , , ,-1.423559422,-1.683013518, , , , , , ,-0.50273224,-0.352657005, , , ,-0.179487179,-0.220338983,,,,,,,-0.360655738,-0.086956522,,,,-0.435897436,0.062146893,,,,,,,-0.393442623,-0.246376812,,,,0.025641026,-0.096045198
1991-4,0.018605922,0.905044598,0.825279813,-0.363207521,0.761166014,1.534714366, , , , , , , ,-1.642015963,-1.576676347, , , ,-1.736337248,-1.895542184, , , , , , ,-0.4,-0.194444444, , , ,-0.423076923,-0.349514563,,,,,,,-0.28,-0.152777778,,,,-0.615384615,-0.145631068,,,,,,,-0.44,-0.159722222,,,,-0.115384615,-0.203883495
1991-5,-0.030498134,0.818462599,0.654088243,-0.524995123,0.594237909,1.572773928, , , , , , , ,-1.838263697,-1.999400446, , , ,-1.837130445,-1.689650488, , , , , , ,-0.55,-0.534591195, , , ,-0.636363636,-0.282258065,,,,,,,-0.39375,-0.314465409,,,,-0.575757576,-0.120967742,,,,,,,-0.525,-0.440251572,,,,-0.393939394,-0.290322581
1991-6,0.022348326,0.788285804,0.672470726,-0.710336512,0.616812652,1.566530411, , , , , , , ,-2.375004567,-1.851733353, , , ,-2.106000183,-1.871156549, , , , , , ,-0.669172932,-0.388235294, , , ,-0.447368421,-0.316666667,,,,,,,-0.518796992,-0.241176471,,,,-0.473684211,-0.225,,,,,,,-0.639097744,-0.323529412,,,,-0.368421053,-0.275
1991-7,0.001175252,0.940732829,0.761971965,-0.643403508,0.686524194,1.570697084, , , , , , , ,-2.112039248,-1.973274369, , , ,-1.922963832,-1.80956892, , , , , , ,-0.52892562,-0.424460432, , , ,-0.28125,-0.216666667,,,,,,,-0.487603306,-0.115107914,,,,-0.125,0.041666667,,,,,,,-0.47107438,-0.302158273,,,,-0.28125,-0.175
1991-8,0.043654364,1.130947945,0.847919748,-0.562387833,0.773089898,1.532556868, , , , , , , ,-2.226351455,-1.84580841, , , ,-1.483368996,-1.743340122, , , , , , ,-0.479452055,-0.310606061, , , ,-0.36,-0.114583333,,,,,,,-0.273972603,0.166666667,,,,-0.52,0.166666667,,,,,,,-0.438356164,-0.242424242,,,,-0.4,0
1991-9,0.01404275,1.038872231,0.790982378,-0.350817533,0.728962439,1.526056303, , , , , , ,-1.821000174,-1.752406986,-1.667338125, , , ,-1.240956309,-1.595700854, , , , , ,-0.176470588,-0.565217391,-0.371212121, , , ,0.133333333,-0.196581197,,,,,,0.176470588,-0.434782609,0.03030303,,,,0,0.145299145,,,,,,-0.094117647,-0.565217391,-0.272727273,,,,0.166666667,-0.162393162
1991-10,-0.015852684,0.898890572,0.786634176,-0.334048358,0.695464485,1.549687908, , , , , , ,-1.609398456,-1.733429811,-1.740272065, , , ,-1.841983302,-1.547898947, , , , , ,-0.211267606,-0.378947368,-0.458646617, , , ,-0.307692308,-0.235294118,,,,,,0.070422535,-0.273684211,-0.203007519,,,,-0.461538462,-0.137254902,,,,,,-0.14084507,-0.326315789,-0.323308271,,,,-0.269230769,-0.205882353
1991-11,-0.008560218,0.925598964,0.800014556,-0.449865057,0.714560759,1.562346305, , , , , , ,-1.734528034,-1.950176584,-2.002124236, , , ,-1.631406609,-1.506634709, , , , , ,-0.225396825,-0.4296875,-0.344594595, , , ,-0.32,-0.202614379,,,,,,0.107936508,-0.4765625,-0.121621622,,,,-0.2,-0.032679739,,,,,,-0.133333333,-0.359375,-0.290540541,,,,-0.32,-0.156862745
1991-12,-0.04114951,0.88521045,0.776780013,-0.589096376,0.658050742,1.613429934, , , , , , ,-1.719671977,-2.179706451,-1.935225976, , , ,-2.128207045,-1.975927016, , , , , ,-0.200873362,-0.597826087,-0.382608696, , , ,-0.515151515,-0.301075269,,,,,,0.122270742,-0.47826087,-0.269565217,,,,-0.363636364,-0.075268817,,,,,,-0.087336245,-0.489130435,-0.260869565,,,,-0.424242424,-0.247311828
1992-1,0.031711703,0.705012538,0.758752338,-0.272427715,0.672538521,1.591273942, ,-1.236448612, , , ,-1.844112962,-1.586728297,-1.833469815,-1.588456085, , , ,-1.277238697,-1.61775538,-0.405797101, , , ,-0.319148936,-0.249134948,-0.526315789,-0.361842105, , , ,-0.15,-0.30952381,-0.362318841,,,,-0.319148936,-0.183391003,-0.533834586,-0.407894737,,,,-0.5,-0.246031746,-0.405797101,,,,-0.404255319,-0.148788927,-0.488721805,-0.203947368,,,,-0.25,-0.253968254
1992-2,-0.000721496,0.815162457,0.719366174,-0.548776867,0.655546701,1.591273942, ,-1.793855589, , , ,-2.115074911,-1.742683875,-2.09794237,-1.972162901, , , ,-2.171222588,-1.7887651,-0.4875, , , ,-0.53968254,-0.215625,-0.564102564,-0.344632768, , , ,-0.3,-0.314285714,-0.275,,,,-0.238095238,-0.025,-0.564102564,-0.186440678,,,,-0.3,-0.221428571,-0.4875,,,,-0.492063492,-0.13125,-0.5,-0.333333333,,,,-0.3,-0.285714286
1992-3,-0.005231608,0.782610563,0.873016937,-0.236891112,0.745349032,1.599387577, ,-1.376777011, , , ,-1.697946365,-1.292399276,-1.905652775,-1.758935947, , , ,-1.700614952,-1.574968784,-0.330434783, , , ,-0.253164557,0.019047619,-0.526570048,-0.434108527, , , ,-0.557692308,-0.285714286,-0.47826087,,,,-0.113924051,0.05952381,-0.61352657,-0.34496124,,,,-0.634615385,-0.230414747,-0.304347826,,,,-0.253164557,0.095238095,-0.333333333,-0.275193798,,,,-0.326923077,-0.170506912
1992-4,0.067277852,0.9045181,0.868747075,-0.138793818,0.767587698,1.53686722, ,-1.526886935, , , ,-1.157786923,-1.401436052,-1.811809034,-1.598349654, , , ,-1.52806315,-1.338105578,-0.313432836, , , ,-0.169811321,-0.105263158,-0.564102564,-0.367346939, , , ,-0.230769231,-0.118421053,-0.253731343,,,,-0.094339623,0.16374269,-0.52991453,-0.285714286,,,,-0.230769231,-0.118421053,-0.388059701,,,,-0.169811321,0.01754386,-0.478632479,-0.224489796,,,,0.076923077,-0.098684211
1992-5,0.03334353,1.023902814,0.910638323,-0.125355,0.818949717,1.501852702, ,-0.949651565, , , ,-1.426875251,-1.608571635,-1.744979987,-1.363041207, , , ,-1.490309401,-1.16312629,0.076923077, , , ,-0.117647059,-0.252631579,-0.36036036,-0.160714286, , , ,-0.391304348,0.023622047,0.076923077,,,,0.098039216,0.098245614,-0.405405405,0.116071429,,,,-0.086956522,0.062992126,0.115384615,,,,-0.235294118,-0.115789474,-0.297297297,-0.080357143,,,,-0.217391304,0.047244094
1992-6,-0.034344854,1.101756783,0.912708332,-0.204024582,0.817624555,1.541159072, ,-1.738411249, , , ,-1.273310637,-1.562481707,-1.716636243,-1.620632306, , , ,-1.631962142,-1.179759379,-0.35, , , ,-0.137931034,-0.083044983,-0.364705882,-0.275, , , ,-0.5,-0.060606061,0.05,,,,0.172413793,0.252595156,-0.317647059,0.058333333,,,,-0.642857143,0.202020202,-0.275,,,,-0.103448276,-0.010380623,-0.270588235,-0.183333333,,,,-0.285714286,-0.01010101
